model,input,fps,latency_ms,rss_mb,offline_acc,live_acc
VGG-16_gestures.tflite,224x224,1.2,863.1,245.0,95.0,97.5
mobilenet_gestures.tflite,160x160,83.2,12.0,119.1,96.7,74.2
